Event_ID,FC_ID,Event_Date,Inbound_Arrival_Time_min,Stow_Time_min,Pick_Time_min,Pack_Time_min,Outbound_Dispatch_Time_min,Carrier,Total_Cycle_Time_min,Throughput_per_Hour,Defect_Flag,SLA_Met_Flag
AMZ-EVT-000001,FC-MUM-01,2025-10-17,170,371,551,20,177,Carrier-C,1289,0.19,1,0
AMZ-EVT-000002,FC-BER-01,2025-07-30,199,280,218,52,333,Carrier-B,1082,0.12,0,0
AMZ-EVT-000003,FC-SFO-01,2025-05-29,93,209,182,213,289,Carrier-D,986,0.12,0,0
AMZ-EVT-000004,FC-BER-01,2025-10-05,117,45,470,21,303,Carrier-D,956,0.13,0,0
AMZ-EVT-000005,FC-MUM-01,2025-03-16,41,301,454,234,341,Carrier-B,1371,0.07,0,0
AMZ-EVT-000006,FC-SFO-01,2025-07-04,127,274,218,206,34,Carrier-E,859,0.13,0,0
AMZ-EVT-000007,FC-SFO-01,2025-11-21,140,68,148,212,263,Carrier-B,831,0.13,0,0
AMZ-EVT-000008,FC-MUM-01,2025-07-14,166,435,454,156,275,Carrier-B,1486,0.19,0,0
AMZ-EVT-000009,FC-BER-01,2025-05-11,43,377,335,186,209,Carrier-A,1150,0.1,1,0
AMZ-EVT-000010,FC-SFO-01,2025-08-07,17,261,301,22,43,Carrier-B,644,0.39,0,0
AMZ-EVT-000011,FC-BER-01,2025-01-16,68,300,166,84,118,Carrier-D,736,0.23,0,0
AMZ-EVT-000012,FC-MUM-01,2025-07-08,127,224,70,234,323,Carrier-A,978,0.22,0,0
AMZ-EVT-000013,FC-MUM-01,2025-06-03,238,91,397,194,269,Carrier-B,1189,0.06,0,0
AMZ-EVT-000014,FC-BER-01,2025-02-07,5,184,576,185,83,Carrier-B,1033,0.22,0,0
AMZ-EVT-000015,FC-MUM-01,2025-11-13,99,202,165,97,254,Carrier-A,817,0.22,0,0
AMZ-EVT-000016,FC-SFO-01,2025-11-22,93,214,295,211,155,Carrier-E,968,0.12,0,0
AMZ-EVT-000017,FC-BER-01,2025-02-03,37,418,73,131,32,Carrier-B,691,0.11,0,0
AMZ-EVT-000018,FC-SFO-01,2025-10-05,84,334,357,19,200,Carrier-A,994,0.07,0,0
AMZ-EVT-000019,FC-SFO-01,2025-03-05,22,347,298,33,180,Carrier-C,880,0.33,0,0
AMZ-EVT-000020,FC-BER-01,2025-03-20,43,403,204,104,84,Carrier-C,838,0.35,0,0
AMZ-EVT-000021,FC-BER-01,2025-02-28,79,400,574,139,243,Carrier-B,1435,0.11,0,0
AMZ-EVT-000022,FC-SFO-01,2025-05-24,206,166,44,106,154,Carrier-C,676,0.25,0,0
AMZ-EVT-000023,FC-MUM-01,2025-06-07,220,20,109,117,347,Carrier-C,813,0.18,0,0
AMZ-EVT-000024,FC-LON-01,2025-04-19,157,196,49,96,260,Carrier-B,758,0.24,0,0
AMZ-EVT-000025,FC-MUM-01,2025-07-23,155,340,321,82,255,Carrier-C,1153,0.24,0,0
AMZ-EVT-000026,FC-SFO-01,2025-10-25,104,234,332,110,298,Carrier-C,1078,0.25,0,0
AMZ-EVT-000027,FC-SFO-01,2025-05-26,199,90,597,210,100,Carrier-B,1196,0.23,0,0
