SKU_ID,Category,Hub,Avg_Daily_Demand,Lead_Time_Days,Current_Stock,Unit_Cost,Stock_Aging_Days,Replenishment_Cycle_Days,Book_to_Ship_Days,Book_to_Deliver_Days,Demand_StdDev,Safety_Stock,Reorder_Point
MYT-SKU-00001,Apparel,HongKong,2.7,20,229,307.5,57,28,1,2,1.683,12.42,66.42
MYT-SKU-00002,Accessories,Leipzig,0.1,5,6,210.02,232,28,0,2,0.342,1.26,1.76
MYT-SKU-00003,Footwear,Munich,2.83,3,104,438.6,282,28,4,11,1.991,5.69,14.18
MYT-SKU-00004,Footwear,NewJersey,3.59,12,295,217.17,303,14,1,2,2.119,12.11,55.19
MYT-SKU-00005,Apparel,Leipzig,4.97,6,383,425.19,228,28,0,2,2.266,9.16,38.98
MYT-SKU-00006,Apparel,Leipzig,11.85,8,1019,364.11,296,7,4,11,2.823,13.17,107.97
MYT-SKU-00007,Apparel,HongKong,13.12,21,1076,435.88,329,28,4,7,4.926,37.25,312.77
MYT-SKU-00008,Bags,Munich,8.47,6,283,163.49,170,7,0,6,3.311,13.38,64.2
MYT-SKU-00009,Footwear,Leipzig,3.8,8,289,157.56,200,28,2,4,1.815,8.47,38.87
MYT-SKU-00010,Footwear,Munich,9.16,4,546,269.7,48,14,0,7,3.745,12.36,49.0
MYT-SKU-00011,Apparel,HongKong,6.15,23,278,54.64,176,14,3,4,3.326,26.32,167.77
MYT-SKU-00012,Accessories,Leipzig,1.82,5,28,323.6,303,28,0,2,1.728,6.38,15.48
MYT-SKU-00013,Bags,Leipzig,3.28,7,221,207.8,70,28,3,5,2.16,9.43,32.39
MYT-SKU-00014,Apparel,Munich,4.97,5,393,77.46,154,7,4,6,2.08,7.67,32.52
MYT-SKU-00015,Apparel,Leipzig,9.91,4,598,37.82,254,14,0,6,3.101,10.23,49.87
MYT-SKU-00016,Apparel,HongKong,5.44,23,208,193.78,177,14,1,5,2.031,16.07,141.19
MYT-SKU-00017,Apparel,Leipzig,11.26,4,218,67.75,213,21,0,6,3.207,10.58,55.62
MYT-SKU-00018,Apparel,Leipzig,10.03,4,646,230.58,120,7,2,5,2.951,9.74,49.86
MYT-SKU-00019,Apparel,Leipzig,6.72,8,304,191.16,338,7,0,4,3.737,17.44,71.2
MYT-SKU-00020,Apparel,NewJersey,7.01,9,366,393.44,93,7,0,3,2.325,11.51,74.6
MYT-SKU-00021,Footwear,Leipzig,3.12,4,179,43.95,341,21,4,8,2.58,8.51,20.99
