Part_Number,Supplier,RFQ_Price,Target_Price,Negotiated_Price,Lead_Time_Days,MOQ,Quality_Score,Tooling_Cost,Yearly_Consumption_Qty,Yearly_Spend,Cost_Savings_Achieved_%
TSL-PART-00001,Supplier-199,329.51,303.71,312.89,103,500,94.4,21621.78,109982,34412267.98,5.04
TSL-PART-00002,Supplier-094,98.46,86.83,84.21,111,250,70.3,4686.83,163108,13735324.68,14.47
TSL-PART-00003,Supplier-379,522.14,459.72,500.12,38,100,96.6,13982.07,151885,75960726.2,4.22
TSL-PART-00004,Supplier-162,1116.98,1053.06,1077.2,27,500,93.9,10447.06,10286,11080079.2,3.56
TSL-PART-00005,Supplier-010,524.03,453.43,449.74,91,100,85.0,23627.9,67543,30376788.82,14.18
TSL-PART-00006,Supplier-186,388.76,335.48,355.46,57,100,76.2,22998.56,60513,21509950.98,8.57
TSL-PART-00007,Supplier-292,833.37,710.5,790.09,102,500,97.6,16341.21,175686,138807751.74,5.19
TSL-PART-00008,Supplier-065,503.42,471.68,443.0,22,100,89.2,21623.77,111198,49260714.0,12.0
TSL-PART-00009,Supplier-366,840.35,744.31,762.96,54,50,70.7,5648.11,119191,90937965.36,9.21
TSL-PART-00010,Supplier-288,148.47,136.27,128.88,54,1000,82.7,11812.34,166274,21429393.12,13.19
TSL-PART-00011,Supplier-411,551.83,506.93,549.89,63,250,90.0,24090.55,117393,64553236.77,0.35
TSL-PART-00012,Supplier-358,101.68,95.03,92.72,75,100,92.1,9442.27,12225,1133502.0,8.81
TSL-PART-00013,Supplier-461,838.43,795.11,789.02,106,100,93.7,15990.05,50683,39989900.66,5.89
TSL-PART-00014,Supplier-290,912.99,853.31,789.13,29,50,95.9,6514.16,13433,10600383.29,13.57
TSL-PART-00015,Supplier-236,174.23,153.43,174.16,91,100,93.6,14307.15,94235,16411967.6,0.04
TSL-PART-00016,Supplier-141,80.94,76.71,71.29,61,100,83.2,10725.8,152805,10893468.45,11.92
TSL-PART-00017,Supplier-248,492.73,432.87,485.26,30,50,92.7,1336.78,183233,88915645.58,1.52
TSL-PART-00018,Supplier-218,1001.74,889.36,936.61,76,250,81.8,18008.95,92982,87087871.02,6.5
TSL-PART-00019,Supplier-124,277.89,237.37,251.18,10,50,77.0,5040.12,3808,956493.44,9.61
TSL-PART-00020,Supplier-011,693.04,591.29,655.26,16,500,78.0,15238.2,14799,9697192.74,5.45
TSL-PART-00021,Supplier-321,227.8,215.07,203.02,18,500,95.5,15741.53,110929,22520805.58,10.88
TSL-PART-00022,Supplier-265,785.32,702.55,713.98,48,250,88.1,18469.25,179764,128347900.72,9.08
TSL-PART-00023,Supplier-234,235.98,209.76,223.83,36,500,79.0,12110.21,151648,33943371.84,5.15
TSL-PART-00024,Supplier-344,436.48,371.83,376.69,7,50,82.0,20640.24,75668,28503378.92,13.7
TSL-PART-00025,Supplier-162,869.79,777.49,769.65,25,250,77.1,9884.69,165522,127394007.3,11.51
TSL-PART-00026,Supplier-467,774.85,726.7,647.35,119,50,85.9,9443.21,166684,107902887.4,16.45
TSL-PART-00027,Supplier-199,525.7,477.52,508.16,43,100,71.7,11069.22,196569,99888503.04,3.34
TSL-PART-00028,Supplier-087,425.8,390.73,388.14,28,100,97.1,21878.08,182685,70907355.9,8.84
TSL-PART-00029,Supplier-325,1069.53,996.44,1010.18,8,250,80.5,18235.62,76442,77220179.56,5.55
TSL-PART-00030,Supplier-277,181.25,160.34,151.47,72,500,84.3,15587.3,16954,2568022.38,16.43
TSL-PART-00031,Supplier-179,574.17,505.57,560.66,45,50,95.7,17579.52,183055,102631616.3,2.35
TSL-PART-00032,Supplier-309,598.78,541.38,532.88,112,250,92.5,19037.27,173091,92236732.08,11.01
TSL-PART-00033,Supplier-355,403.56,350.11,370.93,89,100,85.2,15847.19,7203,2671808.79,8.09
TSL-PART-00034,Supplier-465,1035.7,911.91,1032.11,109,50,90.2,11647.56,86868,89657331.48,0.35
TSL-PART-00035,Supplier-002,15.79,14.07,15.48,13,1000,72.2,5648.42,26024,402851.52,1.96
TSL-PART-00036,Supplier-181,1008.97,863.35,997.49,101,100,90.2,23102.37,53497,53362722.53,1.14
TSL-PART-00037,Supplier-106,298.43,279.3,283.38,24,50,77.6,18022.08,187444,53117880.72,5.04
TSL-PART-00038,Supplier-412,23.13,21.58,22.67,7,500,92.5,6084.25,188634,4276332.78,1.99
TSL-PART-00039,Supplier-371,623.66,562.23,598.97,71,100,84.0,22126.59,182920,109563592.4,3.96
TSL-PART-00040,Supplier-133,326.69,308.43,281.29,88,50,74.8,18295.9,137677,38727163.33,13.9
TSL-PART-00041,Supplier-139,538.32,460.79,458.59,44,50,89.2,15219.52,117168,53732073.12,14.81
TSL-PART-00042,Supplier-103,379.15,333.09,359.84,73,100,76.9,10600.18,115874,41696100.16,5.09
TSL-PART-00043,Supplier-008,371.36,342.16,310.26,24,500,98.9,12003.02,163337,50676937.62,16.45
TSL-PART-00044,Supplier-204,897.24,819.01,865.07,28,100,92.1,12039.18,47878,41417821.46,3.59
TSL-PART-00045,Supplier-142,977.77,912.77,888.44,14,50,83.6,14611.99,103390,91855811.6,9.14
TSL-PART-00046,Supplier-451,879.65,820.72,858.21,44,100,74.2,8859.84,164393,141083716.53,2.44
TSL-PART-00047,Supplier-207,638.44,603.95,525.23,80,50,96.2,10689.44,142775,74989713.25,17.73
TSL-PART-00048,Supplier-224,755.34,707.71,747.31,9,250,84.8,8689.64,89630,66981395.3,1.06
TSL-PART-00049,Supplier-467,1169.98,1087.41,1097.72,114,50,85.6,24311.56,6293,6907951.96,6.18
TSL-PART-00050,Supplier-211,349.73,301.43,294.81,23,100,85.2,11920.44,181562,53526293.22,15.7
TSL-PART-00051,Supplier-391,113.54,102.12,104.39,13,50,82.1,18659.16,62766,6552142.74,8.06
TSL-PART-00052,Supplier-460,883.82,776.21,874.19,107,250,86.3,10739.41,199399,174312611.81,1.09
TSL-PART-00053,Supplier-327,399.68,341.78,382.18,92,100,91.1,21162.68,24928,9526983.04,4.38
TSL-PART-00054,Supplier-293,414.96,372.54,366.86,117,50,84.3,7958.74,84116,30858795.76,11.59
TSL-PART-00055,Supplier-420,1130.22,1017.59,963.26,111,500,86.4,7257.07,123185,118659183.1,14.77
TSL-PART-00056,Supplier-087,331.98,285.26,289.48,17,100,81.5,1047.99,16480,4770630.4,12.8
TSL-PART-00057,Supplier-098,33.35,30.11,29.03,54,250,84.9,11702.35,149595,4342742.85,12.95
TSL-PART-00058,Supplier-372,104.17,97.59,103.65,25,100,73.0,18839.5,2084,216006.6,0.5
TSL-PART-00059,Supplier-103,942.25,853.63,935.75,35,50,83.5,6401.38,78497,73453567.75,0.69
TSL-PART-00060,Supplier-182,991.75,930.15,868.5,34,250,86.0,8644.52,153361,133194028.5,12.43
TSL-PART-00061,Supplier-194,538.85,478.81,528.75,34,500,98.9,4758.48,25281,13367328.75,1.87
TSL-PART-00062,Supplier-080,264.52,250.43,240.6,67,500,92.9,2640.61,24349,5858369.4,9.04
TSL-PART-00063,Supplier-130,906.3,776.73,836.23,42,100,81.4,22015.98,169869,142049553.87,7.73
TSL-PART-00064,Supplier-036,182.91,169.19,170.63,30,500,93.8,14224.94,87924,15002472.12,6.71
TSL-PART-00065,Supplier-055,166.17,148.85,153.45,114,50,93.5,21896.52,167287,25670190.15,7.65
TSL-PART-00066,Supplier-081,104.43,93.54,104.12,61,500,80.8,549.83,84956,8845618.72,0.3
TSL-PART-00067,Supplier-359,95.16,88.34,83.67,81,250,98.4,210.95,30002,2510267.34,12.07
TSL-PART-00068,Supplier-413,548.84,468.21,503.38,37,500,83.2,14163.51,76022,38267954.36,8.28
